sample	pattern	L1 	L2	t1	t2	tp	rate	W	freq	Q	Tmax	Stiff
72	2	0.005780562	0.002135986	1.75E-07	6.90E-07	2.34E-05	0.00E+00	0.000268878	24.08303036	0.165540977	170.2141205	3.69E-04
73	2	0.00437785	0.003561039	2.18E-07	6.03E-07	2.20E-05	0.00E+00	0.000177354	37.45145922	0.243754429	224.0311078	1.30E-04
74	2	0.006663965	0.002002302	1.96E-07	7.70E-07	1.92E-05	0.00E+00	0.000254032	26.09521194	0.196411453	183.4964916	4.54E-05
75	2	0.004289887	0.003569479	1.97E-07	6.14E-07	1.35E-05	0.00E+00	0.000244352	42.2288507	0.177112116	174.4099875	1.10E-04
76	2	4.89E-03	2.31E-03	1.84E-07	8.43E-07	1.38E-05	0.00E+00	0.000247685	51.88715525	0.229297586	237.2766025	3.80E-04
77	2	0.003971398	0.003834849	1.77E-07	9.06E-07	1.38E-05	0.00E+00	0.0001575	86.75963309	0.532910349	459.2365483	4.84E-04
78	2	0.003364454	0.003152419	2.18E-07	8.19E-07	1.85E-05	0.00E+00	0.000228889	78.33697844	0.244128941	265.1565876	3.26E-04
79	2	0.005590471	0.003358034	2.14E-07	9.78E-07	1.42E-05	0.00E+00	0.000241856	49.72045374	0.344460139	278.3685392	1.71E-04
80	2	0.003944922	0.002238792	2.11E-07	7.80E-07	1.92E-05	0.00E+00	0.000232389	59.64294498	0.197752513	232.0866866	1.53E-04
81	2	0.006081142	0.002700436	2.16E-07	7.66E-07	2.68E-05	0.00E+00	0.000266583	23.97937222	0.205694713	183.5939874	6.77E-05
82	2	0.004025764	0.003226921	2.08E-07	8.16E-07	2.74E-05	0.00E+00	0.000152956	57.28305889	0.408337612	375.1409076	3.31E-04
83	2	0.004272296	0.002238429	2.44E-07	8.58E-07	1.96E-05	0.00E+00	0.000227863	61.82317343	0.223838721	246.9930232	5.55E-04
84	2	0.005178864	0.003294623	2.04E-07	8.88E-07	2.04E-05	0.00E+00	0.000298741	37.82061242	0.236683649	213.006859	1.40E-04
