sample	pattern	L1 	L2	t1	t2	tp	rate	W	freq	Q	Tmax	Stiff
1874	3	0.005362508	0.003255785	2.26E-07	6.99E-07	1.44E-05	0.510998577	0.0001563	28.46928862	0.115905934	210.6265671	0.000266491
1875	3	0.004672448	0.002216725	1.91E-07	9.65E-07	2.13E-05	0.323299832	0.000258906	33.45663101	0.107289483	254.8202097	0.000415875
1876	3	0.003383237	0.00215848	2.06E-07	7.44E-07	2.61E-05	0.451153985	0.000109302	53.84429386	0.145913221	355.6045863	0.000819952
1877	3	0.004355887	0.002012581	2.42E-07	6.76E-07	2.19E-05	0.290806309	0.000260687	26.03612757	0.057157288	158.3555026	0.000278667
1878	3	0.006449384	0.003788818	1.76E-07	9.21E-07	1.69E-05	0.512932161	0.000128598	28.28624366	0.265217282	384.5094818	0.000432901
1879	3	0.006524074	0.003660616	1.88E-07	6.79E-07	2.02E-05	0.241248165	0.000155562	16.98782551	0.166924101	266.464383	0.000411835
1880	3	0.003758999	0.002259094	1.74E-07	8.25E-07	2.46E-05	0.258743454	0.000251316	35.77345137	0.098496505	236.5421902	0.000571281
1881	3	0.003484337	0.00233272	1.94E-07	7.19E-07	2.09E-05	0.301030313	0.000284887	35.96899475	0.067182334	163.7328025	0.000428303
1882	3	0.005398384	0.002482591	1.84E-07	8.66E-07	1.11E-05	0.561595164	0.000297835	27.58109889	0.070505575	161.3283391	0.000140255
1883	3	0.006176227	0.002169584	2.43E-07	8.22E-07	1.58E-05	0.367317044	0.000102512	34.69148949	0.188319871	431.1441142	0.000406648
1884	3	0.00699785	0.003347082	2.05E-07	9.09E-07	1.64E-05	0.345935258	0.00023786	20.126597	0.135222108	231.6724629	0.000245442
1885	3	0.003293046	0.003835775	1.60E-07	8.99E-07	2.57E-05	0.208462852	0.000170627	55.70556944	0.270038546	397.6559665	0.004654053
1886	3	0.003065689	0.002677986	2.22E-07	9.61E-07	1.95E-05	0.363107243	0.000111148	101.8802638	0.259229064	498.3535259	0.00315508
