Sample	m 	n	tcrease	tpanel	W	bend stiff 0.3	bend stiff 0.6	bend stiff 0.9	axial stiff 0.3	axial stiff 0.6	axial stiff 0.9
1021	24	9	0.000504553	0.002777023	3.64E-03	7.74E+03	2.36E+03	828.5008942	32774.93747	20043.37196	15166.57331
1022	24	6	0.000860843	0.002734379	1.75E-03	1.52E+04	2.57E+03	373.4642603	52673.32661	18835.5051	6720.812939
1023	30	9	0.000637184	0.004534472	1.69E-03	4.10E+04	5.29E+03	578.9549443	195059.3853	51616.07633	13345.93388
1024	2.40E+01	6	0.000721655	0.002991218	1.11E-03	2.45E+04	3.39E+03	401.7716289	85644.13898	24423.04445	7207.158783
1025	24	9	0.00051945	0.001303751	2.52E-03	1.77E+03	6.63E+02	330.9336022	7083.541027	5238.007624	5803.676303
1026	3.60E+01	9	0.00063418	0.002723427	1.42E-03	1.04E+04	1.36E+03	162.0485343	52838.33142	14936.35445	4316.377179
1027	36	9	0.000896961	0.002200051	1.46E-03	8.08E+03	1.30E+03	182.449058	41388.60204	14247.47977	4841.347556
1028	36	6	0.000790928	0.004792384	1.32E-03	1.62E+04	1.19E+03	113.3282015	70798.20181	11066.45134	2814.017602
1029	24	9	0.000929434	0.002525632	3.94E-03	6.72E+03	2.13E+03	805.5032979	28061.64306	18084.37844	15027.34264
1030	3.00E+01	9	0.000661914	0.002252566	1.58E-03	7.86E+03	1.59E+03	302.4731906	36493.55562	15836.9395	6959.393583
1031	3.60E+01	9	0.000861369	0.005927641	1.50E-03	5.39E+04	4.28E+03	367.6670079	270427.6385	44768.06225	9936.343192
