Sample	m 	n	tcrease	tpanel	W	bend stiff 0.3	bend stiff 0.6	bend stiff 0.9	axial stiff 0.3	axial stiff 0.6	axial stiff 0.9
730	24	6	0.000665718	0.005980295	3.20E-03	3.53E+05	1.29E+05	43254.20593	1655576.595	799209.8932	428021.4613
731	36	12	0.000800756	0.005734886	2.80E-03	2.16E+05	5.52E+04	15816.71658	1291424.359	575602.9439	283361.8303
732	30	12	0.000856532	0.00122775	2.36E-03	3.29E+03	1.20E+03	1301.788012	16122.16941	11722.75803	22175.42264
733	30	9	0.000846211	0.002085853	1.57E-03	3.31E+04	1.04E+04	5313.104314	137836.8161	82209.12533	73857.64518
734	2.40E+01	9	0.000521544	0.001717963	1.36E-03	1.89E+04	6.23E+03	4264.25092	76033.94358	49035.67583	58242.56036
735	36	12	0.000926901	0.00249062	1.68E-03	3.66E+04	1.07E+04	4674.671048	193113.5224	109292.8975	84223.20599
736	30	6	0.000898671	0.004599927	3.10E-03	1.94E+05	7.44E+04	25752.3525	972363.9559	473066.8429	258327.6427
737	36	6	0.00065524	0.002186319	1.63E-03	5.64E+04	2.14E+04	8528.230959	245428.9044	130253.8736	84721.81426
738	36	12	0.000808465	0.005166724	3.90E-03	1.28E+05	3.50E+04	12039.31399	711280.7308	359952.1265	215530.0946
739	24	6	0.000892031	0.004157148	2.87E-03	1.75E+05	6.11E+04	24744.12331	649097.2949	350956.9112	239187.7118
740	24	9	0.000902332	0.002921199	1.05E-03	1.02E+05	3.01E+04	11925.84747	460286.7107	247485.6367	167837.0902
741	24	9	0.00087017	0.005377559	3.33E-03	1.96E+05	5.76E+04	22278.96012	933033.2225	491493.6358	316284.659
742	24	6	0.000618731	0.002200024	1.87E-03	5.09E+04	1.73E+04	9457.463271	153176.5205	93020.70421	89020.47862
743	36	9	0.000762397	0.001366509	2.60E-03	7.31E+03	2.45E+03	1869.346869	28237.05597	18745.80043	25268.91739
